,Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
17,25,3.0,20,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.8725
19,25,4.0,20,16.93,2,4,10.8935,1.28,163.063,163.17700000000002,4.4601,6.88933,0.0,-4.62194,-1.87915,4.17513,-0.0867,-3.58265,2.6692,1.7751599999999998,6,1387.0,3.0,10.0833,1.0,323.332,155.157,123.631,32,31,0.8666666667
80,15,3.0,20,47.69,2,7,4.2792,1.38,463.99304639999997,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9.0,29.0323,1.0,735.3652519,412.4793188,383.5651097,85,84,4.783333333
81,25,3.0,20,47.69,2,7,4.2792,1.38,463.99304639999997,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9.0,29.0323,1.0,735.3652519,412.4793188,383.5651097,85,84,3.5358333330000002
82,15,4.0,20,47.2,1,8,4.2792,3.02,463.4955984,464.74624860000006,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609017999999,0.09020639999999999,8.65648125,50.97815148,23.46594904,18,23915.9106,9.0,29.0323,1.0,735.1959813999999,411.8693528,381.3892682,84,83,5.34917
83,25,4.0,20,47.2,1,8,4.2792,3.02,463.4955984,464.74624860000006,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609017999999,0.09020639999999999,8.65648125,50.97815148,23.46594904,18,23915.9106,9.0,29.0323,1.0,735.1959813999999,411.8693528,381.3892682,84,83,5.385833333
88,20,3.0,15,47.69,2,7,4.2792,1.38,463.99304639999997,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9.0,29.0323,1.0,735.3652519,412.4793188,383.5651097,85,84,6.216666667
89,20,4.0,15,47.2,1,8,4.2792,3.02,463.4955984,464.74624860000006,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609017999999,0.09020639999999999,8.65648125,50.97815148,23.46594904,18,23915.9106,9.0,29.0323,1.0,735.1959813999999,411.8693528,381.3892682,84,83,6.1108333329999995
90,20,3.0,25,47.69,2,7,4.2792,1.38,463.99304639999997,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9.0,29.0323,1.0,735.3652519,412.4793188,383.5651097,85,84,2.566666667
91,20,4.0,25,47.2,1,8,4.2792,3.02,463.4955984,464.74624860000006,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609017999999,0.09020639999999999,8.65648125,50.97815148,23.46594904,18,23915.9106,9.0,29.0323,1.0,735.1959813999999,411.8693528,381.3892682,84,83,5.510833333
